"","TimeStamp","Enlem(N)","Boylam(E)","Derinlik(km)","MD","ML","Mw","Yer","Çözüm Niteligi"
"55","2020.12.17 01:02:24","37.7535"," 27.1037"," 10.2","-.-","1.9","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"56","2020.12.17 01:00:44","37.7417"," 27.2158"," 10.1","-.-","2.2","-.-"," GUZELCAMLI-KUSADASI (AYDIN)"," Ilksel"
"57","2020.12.17 00:30:16","36.6630"," 27.2802"," 56.7","-.-","3.0","3.2"," ONIKI ADALAR (AKDENIZ)","Ilksel"
"58","2020.12.17 00:09:47","39.0007"," 27.8648"," 11.0","-.-","2.2","-.-"," KARABORKLU-AKHISAR (MANISA)"," Ilksel"
"59","2020.12.16 22:57:42","37.7888"," 27.1218"," 14.9","-.-","1.7","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"60","2020.12.16 22:54:25","37.7672"," 27.0685","8.9","-.-","1.6","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"61","2020.12.16 22:51:07","38.8590"," 43.4083"," 17.7","-.-","2.0","-.-"," KUMLUCA-(VAN)"," Ilksel"
"62","2020.12.16 22:30:39","37.9912"," 27.2317"," 17.0","-.-","1.5","-.-"," GOLOVA-MENDERES (IZMIR)"," Ilksel"
"63","2020.12.16 22:14:20","37.7833"," 27.1375","4.6","-.-","1.3","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"64","2020.12.16 21:43:52","37.2032"," 38.7917","9.2","-.-","2.4","-.-"," KARAKOPRU-(SANLIURFA)"," Ilksel"
"65","2020.12.16 20:56:13","37.7800"," 27.0457"," 20.3","-.-","1.6","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"66","2020.12.16 20:18:03","37.7758"," 27.0977","7.9","-.-","2.2","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"67","2020.12.16 20:11:11","37.8458"," 26.9983"," 15.5","-.-","2.2","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"68","2020.12.16 19:37:59","36.1710"," 29.1568"," 18.8","-.-","1.5","-.-"," AKDENIZ"," Ilksel"
"69","2020.12.16 19:04:12","38.8095"," 26.6635","8.3","-.-","1.9","-.-"," CANDARLI KORFEZI (EGE DENIZI)"," Ilksel"
"70","2020.12.16 18:48:19","38.7603"," 40.1000"," 21.8","-.-","1.7","-.-"," YUKARIMIRAHMET-KOVANCILAR (ELAZIG)","Ilksel"
"71","2020.12.16 18:36:39","38.3283"," 38.8328","5.0","-.-","1.8","-.-"," UYANIK-KALE (MALATYA)"," Ilksel"
"72","2020.12.16 18:32:32","38.0488"," 27.0992","3.9","-.-","2.5","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"73","2020.12.16 17:20:23","37.7903"," 27.1532","5.0","-.-","1.6","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"74","2020.12.16 17:13:48","37.8007"," 27.1220","2.5","-.-","1.7","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"75","2020.12.16 16:53:21","37.7980"," 27.1290","5.5","-.-","1.9","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"76","2020.12.16 16:43:15","38.3610"," 39.0810"," 16.7","-.-","2.1","-.-"," DOGANBAGI-SIVRICE (ELAZIG)","Ilksel"
"77","2020.12.16 16:42:41","38.9935"," 27.8628","9.8","-.-","2.1","-.-"," KARABORKLU-AKHISAR (MANISA)"," Ilksel"
"78","2020.12.16 16:23:16","37.7738"," 26.7137"," 26.8","-.-","1.7","-.-"," SISAM ADASI (EGE DENIZI)","Ilksel"
"79","2020.12.16 16:05:08","38.6692"," 43.2197"," 12.7","-.-","2.0","-.-"," ALAKOY-(VAN)","Ilksel"
"80","2020.12.16 15:52:59","37.3732"," 35.2365"," 23.2","-.-","2.2","-.-"," MERKEZBOZTAHTA-KARAISALI (ADANA)","Ilksel"
